key,quantity,value,unit,group,source,note
V5b_diff_M200,FV 与主格式的 t_dry 差 (M=200),-0.23005322185671603,h,V5b,outputs/q4_verify.log,
V5b_FV_M400,独立FV 求解到事件的 t_dry (M=400),183521.21583383268,s,V5b,outputs/q4_verify.log,
V5b_main_M400,主格式 t_dry (M=400),183934.69473051972,s,V5b,outputs/q4_verify.log,
V5b_diff_M400,FV 与主格式的 t_dry 差 (M=400),-0.11485524907973337,h,V5b,outputs/q4_verify.log,
V5b_FV_M800,独立FV 求解到事件的 t_dry (M=800),183736.54126556296,s,V5b,outputs/q4_verify.log,
V5b_main_M800,主格式 t_dry (M=800),183943.11020790294,s,V5b,outputs/q4_verify.log,
V5b_diff_M800,FV 与主格式的 t_dry 差 (M=800),-0.057380261761104015,h,V5b,outputs/q4_verify.log,
V5b_p_FV,独立 FV 的实测收敛阶,1.0425785611341505,1,V5b,outputs/q4_verify.log,
V5b_FV_rich,独立 FV 的 Richardson 外推极限,183951.86669729324,s,V5b,outputs/q4_verify.log,
V5b_limit_diff,FV 外推极限与主格式 M=3200 之差,0.0016397920987462082,h,V5b,outputs/q4_verify.log,
V5_dC_app3_100,V5 附录3 + 冻结收缩 M=100 最大水分差,0.006255008138237983,kg/kg,V5,outputs/q4_verify.log,
V5_dTsurf_app3_100,V5 附录3 + 冻结收缩 M=100 表面温度差,5.543281565678626e-05,K,V5,outputs/q4_verify.log,
V5_dT_app3_100,V5 附录3 + 冻结收缩 M=100 全域最大温度差,7.055303797187662e-05,K,V5,outputs/q4_verify.log,
V5_Csurf_m_app3_100,V5 附录3 + 冻结收缩 M=100 主格式表面含水率,0.5441149122483828,kg/kg,V5,outputs/q4_verify.log,
V5_Csurf_f_app3_100,V5 附录3 + 冻结收缩 M=100 独立FV 表面含水率,0.5323427515084397,kg/kg,V5,outputs/q4_verify.log,
V5_dC_app3_200,V5 附录3 + 冻结收缩 M=200 最大水分差,0.0031399870248515205,kg/kg,V5,outputs/q4_verify.log,
V5_dTsurf_app3_200,V5 附录3 + 冻结收缩 M=200 表面温度差,2.782775032983409e-05,K,V5,outputs/q4_verify.log,
V5_dT_app3_200,V5 附录3 + 冻结收缩 M=200 全域最大温度差,3.539493479820521e-05,K,V5,outputs/q4_verify.log,
V5_Csurf_m_app3_200,V5 附录3 + 冻结收缩 M=200 主格式表面含水率,0.5386154583631547,kg/kg,V5,outputs/q4_verify.log,
V5_Csurf_f_app3_200,V5 附录3 + 冻结收缩 M=200 独立FV 表面含水率,0.5326960436000101,kg/kg,V5,outputs/q4_verify.log,
V5_dC_app3_400,V5 附录3 + 冻结收缩 M=400 最大水分差,0.001573198085015881,kg/kg,V5,outputs/q4_verify.log,
V5_dTsurf_app3_400,V5 附录3 + 冻结收缩 M=400 表面温度差,1.3954243797797972e-05,K,V5,outputs/q4_verify.log,
V5_dT_app3_400,V5 附录3 + 冻结收缩 M=400 全域最大温度差,1.7739663803695294e-05,K,V5,outputs/q4_verify.log,
V5_Csurf_m_app3_400,V5 附录3 + 冻结收缩 M=400 主格式表面含水率,0.5358406425258445,kg/kg,V5,outputs/q4_verify.log,
V5_Csurf_f_app3_400,V5 附录3 + 冻结收缩 M=400 独立FV 表面含水率,0.5328724398616734,kg/kg,V5,outputs/q4_verify.log,
V5_dC_app4_100,V5 附录4 + 收缩 (生产口径) M=100 最大水分差,0.015571717252066242,kg/kg,V5,outputs/q4_verify.log,
V5_dTsurf_app4_100,V5 附录4 + 收缩 (生产口径) M=100 表面温度差,8.260557149242231e-05,K,V5,outputs/q4_verify.log,
V5_dT_app4_100,V5 附录4 + 收缩 (生产口径) M=100 全域最大温度差,9.229854481418442e-05,K,V5,outputs/q4_verify.log,
V5_Csurf_m_app4_100,V5 附录4 + 收缩 (生产口径) M=100 主格式表面含水率,0.44947668854710143,kg/kg,V5,outputs/q4_verify.log,
V5_Csurf_f_app4_100,V5 附录4 + 收缩 (生产口径) M=100 独立FV 表面含水率,0.4194446399079522,kg/kg,V5,outputs/q4_verify.log,
V5_dC_app4_200,V5 附录4 + 收缩 (生产口径) M=200 最大水分差,0.007863795085577496,kg/kg,V5,outputs/q4_verify.log,
V5_dTsurf_app4_200,V5 附录4 + 收缩 (生产口径) M=200 表面温度差,4.143170770021243e-05,K,V5,outputs/q4_verify.log,
V5_dT_app4_200,V5 附录4 + 收缩 (生产口径) M=200 全域最大温度差,4.6301253178171464e-05,K,V5,outputs/q4_verify.log,
V5_Csurf_m_app4_200,V5 附录4 + 收缩 (生产口径) M=200 主格式表面含水率,0.43518873084313053,kg/kg,V5,outputs/q4_verify.log,
V5_Csurf_f_app4_200,V5 附录4 + 收缩 (生产口径) M=200 独立FV 表面含水率,0.4200147101573129,kg/kg,V5,outputs/q4_verify.log,
V5_dC_app4_400,V5 附录4 + 收缩 (生产口径) M=400 最大水分差,0.003952807835990002,kg/kg,V5,outputs/q4_verify.log,
V5_dTsurf_app4_400,V5 附录4 + 收缩 (生产口径) M=400 表面温度差,2.0747426788148005e-05,K,V5,outputs/q4_verify.log,
V5_dT_app4_400,V5 附录4 + 收缩 (生产口径) M=400 全域最大温度差,2.318808856216492e-05,K,V5,outputs/q4_verify.log,
V5_Csurf_m_app4_400,V5 附录4 + 收缩 (生产口径) M=400 主格式表面含水率,0.42792450830448747,kg/kg,V5,outputs/q4_verify.log,
V5_Csurf_f_app4_400,V5 附录4 + 收缩 (生产口径) M=400 独立FV 表面含水率,0.42029530326980363,kg/kg,V5,outputs/q4_verify.log,
PROD_Cmin_ge_Cbar,全场最低含水率 >= 环境平台值,0.0026190044416882496,kg/kg,V7,极值原理,
PROD_Cmax_le_C0,全场最高含水率 <= 初值 (上界),0.0,kg/kg,V7,极值原理,
PROD_profile_monotone,t>6h 后剖面关于 r 单调不增的违例列数,0.0,1,V7,最大值原理,
PROD_mass_relres,干基水量收支相对残差 (|dW-flux|/dW),2.8069459985266864e-07,1,V7,守恒性,
PROD_event_monotone,末 2 h max_i C_i 的上升步数 (应=0),0.0,1,V9,事件单根性,
PROD_event_slope,末 2 h max_i C_i 平均下降速率,-5.382893994622731e-07,kg/(kg s),V9,事件单根性,
PROD_g_at_tdry,事件函数值 g(t_dry) = max_i C_i - C*,0.0,kg/kg,V9,事件定位精度,
app4Rconst_Cmin_ge_Cbar,全场最低含水率 >= 环境平台值,0.0015706610650725455,kg/kg,V7,极值原理,
app4Rconst_Cmax_le_C0,全场最高含水率 <= 初值 (上界),0.0,kg/kg,V7,极值原理,
app4Rconst_profile_monotone,t>6h 后剖面关于 r 单调不增的违例列数,0.0,1,V7,最大值原理,
app4Rconst_mass_relres,干基水量收支相对残差 (|dW-flux|/dW),2.705438080501116e-07,1,V7,守恒性,
app4Rconst_event_monotone,末 2 h max_i C_i 的上升步数 (应=0),0.0,1,V9,事件单根性,
app4Rconst_event_slope,末 2 h max_i C_i 平均下降速率,-1.882303047241162e-07,kg/(kg s),V9,事件单根性,
app4Rconst_g_at_tdry,事件函数值 g(t_dry) = max_i C_i - C*,0.0,kg/kg,V9,事件定位精度,
