doc,line,token,kind,source,registry_file
problem3_slove.md,23,0.15,MATCH,P05_C_center,registry_q3.csv
problem3_slove.md,25,5,MATCH,W11_pen_dmax_cm,registry_q3_2d.csv
problem3_slove.md,25,6,MATCH,P05_Csurf_rel,registry_q3.csv
problem3_slove.md,25,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,25,0.5,MATCH,E04_T_range,registry_q3.csv
problem3_slove.md,25,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,25,1.5,MATCH,X_C_3600_2,registry_q3.csv
problem3_slove.md,25,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,26,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,26,60,MATCH,MC_s_D0_m,registry_q3_mc.csv
problem3_slove.md,26,0.1,MATCH,T5_r3_c5,registry_q3.csv
problem3_slove.md,26,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,30,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,30,0.15,MATCH,P05_C_center,registry_q3.csv
problem3_slove.md,32,10800,ALLOW,allow: 问题二终止时刻,
problem3_slove.md,38,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,38,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,38,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,38,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,40,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,42,10800,ALLOW,allow: 问题二终止时刻,
problem3_slove.md,43,1.08e4,ALLOW,allow: 问题二终止时刻,
problem3_slove.md,43,2.067e5,MATCH,P00_t_last,registry_q3.csv
problem3_slove.md,43,19,MATCH,MC_std,registry_q3_mc.csv
problem3_slove.md,44,2.97e4,ALLOW,allow: problem3.md §5.3 初期湿分特征时间 R^2/D,
problem3_slove.md,44,5.0e5,ALLOW,allow: problem3.md §5.3 末期湿分特征时间 R^2/D,
problem3_slove.md,44,16.8,ALLOW,allow: problem3.md §5.3 特征时间放大倍数,
problem3_slove.md,44,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,45,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,45,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,45,14400,ALLOW,allow: 附件1 覆盖上界 t_c,
problem3_slove.md,46,0.25,ALLOW,allow: 问题二 dt=0.25 s,
problem3_slove.md,46,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,46,5,MATCH,W11_pen_dmax_cm,registry_q3_2d.csv
problem3_slove.md,51,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,51,10800,ALLOW,allow: 问题二终止时刻,
problem3_slove.md,59,-1,MATCH,X_C_10800_2,registry_q3.csv|abs
problem3_slove.md,60,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,60,10,MATCH,DR_c120_dh,registry_q3_drainage.csv
problem3_slove.md,62,19,MATCH,MC_std,registry_q3_mc.csv
problem3_slove.md,66,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,66,206720.413,MATCH,DR_base,registry_q3_drainage.csv
problem3_slove.md,67,0.25,ALLOW,allow: 问题二 dt=0.25 s,
problem3_slove.md,67,8.3e5,ALLOW,allow: 定步长 BE 全程步数推导 206720/0.25,
problem3_slove.md,67,206720,MATCH,V6_lsoda,registry_q3_verify.csv
problem3_slove.md,67,0.25,ALLOW,allow: 问题二 dt=0.25 s,
problem3_slove.md,68,3299,MATCH,P03_nsteps,registry_q3.csv
problem3_slove.md,68,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,69,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,69,50,MATCH,P00_Tbar,registry_q3.csv
problem3_slove.md,70,2.97e4,ALLOW,allow: problem3.md §5.3 初期湿分特征时间 R^2/D,
problem3_slove.md,70,5.0e5,ALLOW,allow: problem3.md §5.3 末期湿分特征时间 R^2/D,
problem3_slove.md,70,16.8,ALLOW,allow: problem3.md §5.3 特征时间放大倍数,
problem3_slove.md,71,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,72,62.7,MATCH,FG3_dt_mean,registry_q3_figures.csv
problem3_slove.md,72,206720.413,MATCH,DR_base,registry_q3_drainage.csv
problem3_slove.md,72,3299,MATCH,P03_nsteps,registry_q3.csv
problem3_slove.md,74,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,74,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,75,0.046,ALLOW,allow: problem3.md §7.3 显式格式稳定步长估计,
problem3_slove.md,75,4.5e6,ALLOW,allow: problem3.md §7.3 显式格式步数量级估计,
problem3_slove.md,77,10,MATCH,DR_c120_dh,registry_q3_drainage.csv
problem3_slove.md,79,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,79,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,79,14400,ALLOW,allow: 附件1 覆盖上界 t_c,
problem3_slove.md,80,2.07e5,MATCH,V1_richardson_p1,registry_q3_verify.csv
problem3_slove.md,80,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,80,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,80,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,82,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,82,10800,ALLOW,allow: 问题二终止时刻,
problem3_slove.md,82,14400,ALLOW,allow: 附件1 覆盖上界 t_c,
problem3_slove.md,82,61,MATCH,E01_n,registry_q3.csv
problem3_slove.md,83,49.9989,MATCH,E02_T_mean,registry_q3.csv
problem3_slove.md,83,0.1531,MATCH,E03_T_std,registry_q3.csv
problem3_slove.md,83,0.479,MATCH,E04_T_range,registry_q3.csv
problem3_slove.md,84,0.049988,MATCH,E05_C_mean,registry_q3.csv
problem3_slove.md,84,0.000149,MATCH,E06_C_std,registry_q3.csv
problem3_slove.md,84,0.00049,MATCH,E07_C_range,registry_q3.csv
problem3_slove.md,85,01,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,85,07,MATCH,MC_s_kD_d,registry_q3_mc.csv
problem3_slove.md,87,4,MATCH,DR_c100_dh,registry_q3_drainage.csv
problem3_slove.md,87,50.00,MATCH,P00_Tbar,registry_q3.csv
problem3_slove.md,87,0.0500,MATCH,P00_Cbar,registry_q3.csv
problem3_slove.md,88,0.15,MATCH,P05_C_center,registry_q3.csv
problem3_slove.md,89,-600,MATCH,P00_tau,registry_q3.csv|abs
problem3_slove.md,89,14400,ALLOW,allow: 附件1 覆盖上界 t_c,
problem3_slove.md,90,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,90,1800,ALLOW,allow: tau 敏感性,
problem3_slove.md,91,600,MATCH,P00_tau,registry_q3.csv
problem3_slove.md,91,0.008,ALLOW,allow: tau=0 变体秒换算 (2.16e-6 h) 推导,
problem3_slove.md,91,0.070,ALLOW,allow: tau=1800 变体秒换算 (1.93e-5 h) 推导,
problem3_slove.md,91,7,MATCH,MC_s_kD_d,registry_q3_mc.csv
problem3_slove.md,92,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,92,1e-3,MATCH,MC_s_krho_d,registry_q3_mc.csv
problem3_slove.md,98,1.17,ALLOW,allow: problem3.md 原型环境 scipy 版本号,
problem3_slove.md,98,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,98,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,102,4,MATCH,DR_c100_dh,registry_q3_drainage.csv
problem3_slove.md,109,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,110,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,112,17.27,ALLOW,allow: 问题二 V11 结论: 两种能量形式温度差 (registry_q2_verify),
problem3_slove.md,115,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,119,200,MATCH,P00_M,registry_q3.csv
problem3_slove.md,119,0.01,MATCH,W11_D_over_alpha,registry_q3_2d.csv
problem3_slove.md,119,0.1,MATCH,T5_r3_c5,registry_q3.csv
problem3_slove.md,119,10,MATCH,DR_c120_dh,registry_q3_drainage.csv
problem3_slove.md,119,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,120,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,120,5,MATCH,W11_pen_dmax_cm,registry_q3_2d.csv
problem3_slove.md,121,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,122,1e-6,MATCH,P00_atol_T,registry_q3.csv
problem3_slove.md,122,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,122,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,123,3600,MATCH,P00_max_step,registry_q3.csv
problem3_slove.md,123,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,124,259200,ALLOW,allow: 积分上界 3 天 (s),
problem3_slove.md,124,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,124,52480,ALLOW,allow: 积分上界余量 259200-t_dry 推导,
problem3_slove.md,124,20.2,ALLOW,allow: 余量百分比推导,
problem3_slove.md,125,50.00,MATCH,P00_Tbar,registry_q3.csv
problem3_slove.md,125,0.0500,MATCH,P00_Cbar,registry_q3.csv
problem3_slove.md,125,600,MATCH,P00_tau,registry_q3.csv
problem3_slove.md,126,6,MATCH,P05_Csurf_rel,registry_q3.csv
problem3_slove.md,128,3299,MATCH,P03_nsteps,registry_q3.csv
problem3_slove.md,128,8477,MATCH,P03_nfev,registry_q3.csv
problem3_slove.md,128,326,MATCH,P03_njev,registry_q3.csv
problem3_slove.md,128,1001,MATCH,P03_nlu,registry_q3.csv
problem3_slove.md,147,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,147,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,147,6,MATCH,P05_Csurf_rel,registry_q3.csv
problem3_slove.md,150,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,155,0.14,MATCH,P05_C_r1,registry_q3.csv
problem3_slove.md,156,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,157,1e-4,MATCH,V4_q2_dt0125_dT_w1p8e3_7p2e3 s,registry_q3_verify.csv
problem3_slove.md,157,1e-7,ALLOW,allow: W2/W5 对照容限,
problem3_slove.md,158,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,160,12,MATCH,W11_max_dt_axial,registry_q3_2d.csv
problem3_slove.md,160,1e-7,ALLOW,allow: W2/W5 对照容限,
problem3_slove.md,161,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,161,1800,ALLOW,allow: tau 敏感性,
problem3_slove.md,162,2.239e-7,ALLOW,allow: selftest FD 偏差 (控制台输出),
problem3_slove.md,162,6.212e-8,ALLOW,allow: selftest FD 偏差 (控制台输出),
problem3_slove.md,163,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,165,5,MATCH,W11_pen_dmax_cm,registry_q3_2d.csv
problem3_slove.md,169,1e-7,ALLOW,allow: W2/W5 对照容限,
problem3_slove.md,169,1373,ALLOW,allow: W5 全稠密差分步数 (运行观测),
problem3_slove.md,169,3368,MATCH,V5_dense_nfev,registry_q3_verify.csv
problem3_slove.md,169,226,ALLOW,allow: 墙钟耗时,
problem3_slove.md,169,206720.584,MATCH,V5_dense_tdry,registry_q3_verify.csv
problem3_slove.md,170,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,170,3299,MATCH,P03_nsteps,registry_q3.csv
problem3_slove.md,170,8477,MATCH,P03_nfev,registry_q3.csv
problem3_slove.md,170,23,MATCH,MC_env_lo,registry_q3_mc.csv
problem3_slove.md,170,206720.413,MATCH,DR_base,registry_q3_drainage.csv
problem3_slove.md,171,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,171,3299,MATCH,P03_nsteps,registry_q3.csv
problem3_slove.md,171,8477,MATCH,P03_nfev,registry_q3.csv
problem3_slove.md,171,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,171,206720.413,MATCH,DR_base,registry_q3_drainage.csv
problem3_slove.md,173,2.0e-10,MATCH,V5_sparse_diff,registry_q3_verify.csv
problem3_slove.md,173,5,MATCH,W11_pen_dmax_cm,registry_q3_2d.csv
problem3_slove.md,174,7,MATCH,MC_s_kD_d,registry_q3_mc.csv
problem3_slove.md,174,7.6,ALLOW,allow: 加速比 (机器相关),
problem3_slove.md,174,23,MATCH,MC_env_lo,registry_q3_mc.csv
problem3_slove.md,174,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,175,402,ALLOW,allow: 状态维数 2(M+1),
problem3_slove.md,175,75,ALLOW,"allow: 加速比 (耗时之比, 机器相关)",
problem3_slove.md,184,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,185,9,MATCH,DR_c120_dh,registry_q3_drainage.csv
problem3_slove.md,185,60,MATCH,MC_s_D0_m,registry_q3_mc.csv
problem3_slove.md,185,3445,MATCH,P00_n60,registry_q3.csv
problem3_slove.md,185,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,186,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,191,10,MATCH,DR_c120_dh,registry_q3_drainage.csv
problem3_slove.md,193,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,194,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,194,2.9206e-7,MATCH,V10_slope,registry_q3_verify.csv
problem3_slove.md,194,3.424e6,MATCH,V10_cond,registry_q3_verify.csv
problem3_slove.md,196,2.9206e-7,MATCH,V10_slope,registry_q3_verify.csv
problem3_slove.md,196,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,197,2.92e-7,MATCH,V10_slope,registry_q3_verify.csv
problem3_slove.md,201,1e-5,MATCH,V4_q2_dt0125_dC_w1p8e3_7p2e3 s,registry_q3_verify.csv
problem3_slove.md,201,34,MATCH,W11_argmax_off_enddir,registry_q3_2d.csv
problem3_slove.md,202,1e-7,ALLOW,allow: W2/W5 对照容限,
problem3_slove.md,202,1e-7,ALLOW,allow: W2/W5 对照容限,
problem3_slove.md,202,0.34,ALLOW,allow: 条件数 x 1e-7 推导,
problem3_slove.md,203,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,203,0.003,MATCH,W11_max_dt_axial_h,registry_q3_2d.csv
problem3_slove.md,205,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,205,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,205,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,205,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,206,1e-7,ALLOW,allow: W2/W5 对照容限,
problem3_slove.md,206,0.171,MATCH,V2_M200_diff,registry_q3_verify.csv
problem3_slove.md,206,200,MATCH,P00_M,registry_q3.csv
problem3_slove.md,206,0.177,MATCH,V2_M400_diff,registry_q3_verify.csv
problem3_slove.md,206,400,ALLOW,allow: 网格 M=400,
problem3_slove.md,207,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,211,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,211,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,212,206720.413,MATCH,DR_base,registry_q3_drainage.csv
problem3_slove.md,212,259200,ALLOW,allow: 积分上界 3 天 (s),
problem3_slove.md,213,52480,ALLOW,allow: 积分上界余量 259200-t_dry 推导,
problem3_slove.md,213,20.2,ALLOW,allow: 余量百分比推导,
problem3_slove.md,220,200,MATCH,P00_M,registry_q3.csv
problem3_slove.md,220,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,220,1e-6,MATCH,P00_atol_T,registry_q3.csv
problem3_slove.md,220,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,220,3600,MATCH,P00_max_step,registry_q3.csv
problem3_slove.md,221,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,221,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,223,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,225,6,MATCH,P05_Csurf_rel,registry_q3.csv
problem3_slove.md,226,0.15,MATCH,P05_C_center,registry_q3.csv
problem3_slove.md,226,-1,MATCH,X_C_10800_2,registry_q3.csv|abs
problem3_slove.md,228,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,228,259200,ALLOW,allow: 积分上界 3 天 (s),
problem3_slove.md,228,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,229,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,229,3600,MATCH,P00_max_step,registry_q3.csv
problem3_slove.md,230,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,230,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,232,60,MATCH,MC_s_D0_m,registry_q3_mc.csv
problem3_slove.md,232,21,ALLOW,allow: 输出列数,
problem3_slove.md,232,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,232,3445,MATCH,P00_n60,registry_q3.csv
problem3_slove.md,232,21,ALLOW,allow: 输出列数,
problem3_slove.md,232,4,MATCH,DR_c100_dh,registry_q3_drainage.csv
problem3_slove.md,233,6,MATCH,P05_Csurf_rel,registry_q3.csv
problem3_slove.md,233,5,MATCH,W11_pen_dmax_cm,registry_q3_2d.csv
problem3_slove.md,237,3299,MATCH,P03_nsteps,registry_q3.csv
problem3_slove.md,237,62.7,MATCH,FG3_dt_mean,registry_q3_figures.csv
problem3_slove.md,237,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,237,200,MATCH,P00_M,registry_q3.csv
problem3_slove.md,237,4,MATCH,DR_c100_dh,registry_q3_drainage.csv
problem3_slove.md,237,400,ALLOW,allow: 网格 M=400,
problem3_slove.md,238,8.3e5,ALLOW,allow: 定步长 BE 全程步数推导 206720/0.25,
problem3_slove.md,238,4.5e6,ALLOW,allow: problem3.md §7.3 显式格式步数量级估计,
problem3_slove.md,239,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,243,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,243,10,MATCH,DR_c120_dh,registry_q3_drainage.csv
problem3_slove.md,245,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,245,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,245,77,ALLOW,allow: registry_q3_verify.csv 行数 (运行观测),
problem3_slove.md,247,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,251,100,MATCH,MC_p97.5,registry_q3_mc.csv
problem3_slove.md,251,0.02,MATCH,V3_ms1800_diff,registry_q3_verify.csv|abs
problem3_slove.md,251,206397.931,MATCH,P02_M100,registry_q3.csv
problem3_slove.md,251,57.3328,MATCH,V1_M100_h,registry_q3_verify.csv
problem3_slove.md,251,3324,ALLOW,allow: W1 M=100 步数 (运行观测),
problem3_slove.md,252,200,MATCH,P00_M,registry_q3.csv
problem3_slove.md,252,0.01,MATCH,W11_D_over_alpha,registry_q3_2d.csv
problem3_slove.md,252,206720.413,MATCH,DR_base,registry_q3_drainage.csv
problem3_slove.md,252,57.4223,MATCH,P01_tdry_h,registry_q3.csv
problem3_slove.md,252,322.483,MATCH,P02_d1,registry_q3.csv
problem3_slove.md,252,3299,MATCH,P03_nsteps,registry_q3.csv
problem3_slove.md,253,400,ALLOW,allow: 网格 M=400,
problem3_slove.md,253,0.005,MATCH,W11_D_over_alpha,registry_q3_2d.csv
problem3_slove.md,253,206857.296,MATCH,P02_M400,registry_q3.csv
problem3_slove.md,253,57.4604,MATCH,V1_M400_h,registry_q3_verify.csv
problem3_slove.md,253,136.882,MATCH,P02_d2,registry_q3.csv
problem3_slove.md,253,3276,ALLOW,allow: W1 M=400 步数 (运行观测),
problem3_slove.md,255,2.3559,MATCH,V1_ratio,registry_q3_verify.csv
problem3_slove.md,255,1.2363,MATCH,P02_order,registry_q3.csv
problem3_slove.md,257,1.24,MATCH,P02_order,registry_q3.csv
problem3_slove.md,258,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,258,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,258,1.236,MATCH,P02_order,registry_q3.csv
problem3_slove.md,261,400,ALLOW,allow: 网格 M=400,
problem3_slove.md,261,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,261,-1,MATCH,X_C_10800_2,registry_q3.csv|abs
problem3_slove.md,261,206958.2,MATCH,P01_tdry_rich,registry_q3.csv
problem3_slove.md,261,57.4884,MATCH,P01_tdry_rich_h,registry_q3.csv
problem3_slove.md,263,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,263,206994.178,MATCH,V1_richardson_p1,registry_q3_verify.csv
problem3_slove.md,263,57.4984,ALLOW,allow: p=1 保守外推的小时换算 206994.178/3600 推导,
problem3_slove.md,263,0.01,MATCH,W11_D_over_alpha,registry_q3_2d.csv
problem3_slove.md,265,6,MATCH,P05_Csurf_rel,registry_q3.csv
problem3_slove.md,265,6,MATCH,P05_Csurf_rel,registry_q3.csv
problem3_slove.md,265,54,ALLOW,allow: 表5 行时刻,
problem3_slove.md,265,21,ALLOW,allow: 输出列数,
problem3_slove.md,265,200,MATCH,P00_M,registry_q3.csv
problem3_slove.md,265,400,ALLOW,allow: 网格 M=400,
problem3_slove.md,266,2.427e-4,MATCH,V1_dC_200_400,registry_q3_verify.csv
problem3_slove.md,266,3.5377e-6,MATCH,V1_dT_200_400,registry_q3_verify.csv
problem3_slove.md,267,200,MATCH,P00_M,registry_q3.csv
problem3_slove.md,268,1e-4,MATCH,V4_q2_dt0125_dT_w1p8e3_7p2e3 s,registry_q3_verify.csv
problem3_slove.md,270,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,270,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,274,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,274,200,MATCH,P00_M,registry_q3.csv
problem3_slove.md,274,1e-7,ALLOW,allow: W2/W5 对照容限,
problem3_slove.md,274,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,274,0.171,MATCH,V2_M200_diff,registry_q3_verify.csv
problem3_slove.md,275,2,MATCH,V4_ratio,registry_q3_verify.csv
problem3_slove.md,275,400,ALLOW,allow: 网格 M=400,
problem3_slove.md,275,1e-7,ALLOW,allow: W2/W5 对照容限,
problem3_slove.md,275,1e-9,MATCH,P00_rtol,registry_q3.csv
problem3_slove.md,275,0.177,MATCH,V2_M400_diff,registry_q3_verify.csv
problem3_slove.md,276,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,276,600,MATCH,P00_tau,registry_q3.csv
problem3_slove.md,276,3600,MATCH,P00_max_step,registry_q3.csv
problem3_slove.md,276,-0.032,MATCH,V3_ms600_diff,registry_q3_verify.csv
problem3_slove.md,276,3456,MATCH,V3_ms600_steps,registry_q3_verify.csv
problem3_slove.md,277,3,MATCH,X_C_600_0,registry_q3.csv
problem3_slove.md,277,1800,ALLOW,allow: tau 敏感性,
problem3_slove.md,277,3600,MATCH,P00_max_step,registry_q3.csv
problem3_slove.md,277,-0.017,MATCH,V3_ms1800_diff,registry_q3_verify.csv
problem3_slove.md,277,3312,MATCH,V3_ms1800_steps,registry_q3_verify.csv
problem3_slove.md,279,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,279,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,279,0.03,MATCH,W11_t_1dfv_tol,registry_q3_2d.csv
problem3_slove.md,282,4,MATCH,DR_c100_dh,registry_q3_drainage.csv
problem3_slove.md,284,1,MATCH,X_C_10800_2,registry_q3.csv
problem3_slove.md,284,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,284,14400,ALLOW,allow: 附件1 覆盖上界 t_c,
problem3_slove.md,285,200,MATCH,P00_M,registry_q3.csv
problem3_slove.md,285,0.25,ALLOW,allow: 问题二 dt=0.25 s,
problem3_slove.md,285,57600,ALLOW,allow: 问题二 BE 步数 14400/0.25 (运行观测),
problem3_slove.md,285,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,290,0,MATCH,P04_maxC_dry,registry_q3.csv
problem3_slove.md,290,1800,ALLOW,allow: tau 敏感性,
problem3_slove.md,290,3.9755e-5,MATCH,V4_q2_dt025_dC,registry_q3_verify.csv
problem3_slove.md,290,4.2835e-4,MATCH,V4_q2_dt025_dT,registry_q3_verify.csv
problem3_slove.md,291,1800,ALLOW,allow: tau 敏感性,
problem3_slove.md,291,7200,ALLOW,allow: W4 时间窗边界 (2 h),
problem3_slove.md,291,1.8080e-5,MATCH,V4_q2_dt025_dC_w1p8e3_7p2e3 s,registry_q3_verify.csv
problem3_slove.md,291,2.4692e-4,MATCH,V4_q2_dt025_dT_w1p8e3_7p2e3 s,registry_q3_verify.csv
problem3_slove.md,292,7200,ALLOW,allow: W4 时间窗边界 (2 h),
problem3_slove.md,292,14400,ALLOW,allow: 附件1 覆盖上界 t_c,
problem3_slove.md,292,6.6567e-6,MATCH,V4_q2_dt025_dC_w7p2e3_1p44e4 s,registry_q3_verify.csv
problem3_slove.md,292,1.3573e-4,MATCH,V4_q2_dt025_dT_w7p2e3_1p44e4 s,registry_q3_verify.csv
problem3_slove.md,293,3.9755e-5,MATCH,V4_q2_dt025_dC,registry_q3_verify.csv
problem3_slove.md,293,4.2835e-4,MATCH,V4_q2_dt025_dT,registry_q3_verify.csv
